Experiment,year,site,start_date,new_start_date,end_date,new_end_date,operation,Column
LongTermLiming,1983,sawyers,28-Jul-83,28/07/1983,,,Fentin hydroxide applied with insecticide,
LongTermLiming,1983,sawyers,11-Aug-83,11/08/1983,,,Fentin hydroxide applied,
LongTermLiming,1983,sawyers,11-Oct-82,11/10/1982,,,Haulm mechanically destroyed,
LongTermLiming,1983,sawyers,19-Oct-82,19/10/1982,,,Haulm desiccant applied,
LongTermLiming,1983,sawyers,28-Oct-82,28/10/1982,,,Lifted,
LongTermLiming,1983,stackyard,12-Sep-82,12/09/1982,,,glyphosate applied,
LongTermLiming,1983,stackyard,08-Oct-82,08/10/1982,,,ploughed,
LongTermLiming,1983,stackyard,04-Nov-82,04/11/1982,,,Ground chalk treatments applied,
LongTermLiming,1983,stackyard,23-Dec-82,23/12/1982,,,ploughed,
LongTermLiming,1983,stackyard,21-Mar-83,21/03/1983,,,Heavy spring-tine cultivated,
LongTermLiming,1983,stackyard,22-Mar-83,22/03/1983,,,"P treatments, N, K, Mg applied",
LongTermLiming,1983,stackyard,28-Mar-83,28/03/1983,,,Heavy spring-tine cultivated,
LongTermLiming,1983,stackyard,11-May-83,11/05/1983,,,Heavy spring-tine cultivated,
LongTermLiming,1983,stackyard,11-May-83,11/05/1983,,,"rotary cultivated, potatoes late",
LongTermLiming,1983,stackyard,07-Jun-83,07/06/1983,,,"rotary ridged, weedkíller applied",
LongTermLiming,1983,stackyard,22-Jun-83,22/06/1983,,,Mancozeb applied with insecticide,
LongTermLiming,1983,stackyard,08-Jul-83,08/07/1983,,,Mancozeb applied with insecticide,
LongTermLiming,1983,stackyard,18-Jul-83,18/07/1983,,,Mancozeb applied with insecticide,
LongTermLiming,1983,stackyard,01-Jul-83,01/07/1983,,,Mancozeb applied,
LongTermLiming,1983,stackyard,29-Jul-83,29/07/1983,,,Fentin hydroxide applied with insecticide,
LongTermLiming,1983,stackyard,11-Aug-83,11/08/1983,,,Fentin hydroxide applied with insecticide,
LongTermLiming,1983,stackyard,26-Aug-83,26/08/1983,,,Fentin hydroxide applied with insecticide,
LongTermLiming,1983,stackyard,09-Sep-82,09/09/1982,,,Fentin hydroxide applied,
LongTermLiming,1983,stackyard,05-Oct-82,05/10/1982,,,Haulm mechanically destroyed,
LongTermLiming,1983,stackyard,17-Oct-82,17/10/1982,,,Haulm desiccant applied,
LongTermLiming,1983,stackyard,07-Nov-82,07/11/1982,,,Lifted,
LongTermLiming,1984,sawyers,11-Nov-83,11/11/1983,,,Heavy spring-tine cultivated,
LongTermLiming,1984,sawyers,27-Apr-84,27/04/1984,,,"twice,",
LongTermLiming,1984,sawyers,09-May-84,09/05/1984,,,"twice,",
LongTermLiming,1984,sawyers,27-Apr-84,27/04/1984,,,rotary cultivated,
LongTermLiming,1984,sawyers,15-Jun-84,15/06/1984,,,rotary cultivated,
LongTermLiming,1984,sawyers,12-Jul-84,12/07/1984,,,rotary cultivated,
LongTermLiming,1984,sawyers,13-Jul-84,13/07/1984,,,spring-tine cultivated,
LongTermLiming,1984,stackyard,16-Jan-84,16/01/1984,,,Deep-tine cultivated,
LongTermLiming,1984,stackyard,15-May-84,15/05/1984,,,Heavy spring-tine cultivated,
LongTermLiming,1984,stackyard,10-Jul-84,10/07/1984,,,cultivated with thistle bar,
LongTermLiming,1984,stackyard,10-Aug-84,10/08/1984,,,cultivated with thistle bar,
LongTermLiming,1984,stackyard,25-Jul-84,25/07/1984,,,rotary cultivated,
LongTermLiming,1985,sawyers,03-Jan-85,03/01/1985,,,ploughed,
LongTermLiming,1985,sawyers,18-Mar-85,18/03/1985,,,"NX applied, spring cultivated, rotary harrowed, seed sown",
LongTermLiming,1985,sawyers,16-May-85,16/05/1985,,,Weedkillers with Fungicide applied,
LongTermLiming,1985,sawyers,23-Aug-85,23/08/1985,,,combine harvested,
LongTermLiming,1985,stackyard,13-Mar-85,13/03/1985,,,ploughed,
LongTermLiming,1985,stackyard,18-Mar-85,18/03/1985,,,"spring cultivated, NK applied, harrowed, seed sown",
LongTermLiming,1985,stackyard,16-May-85,16/05/1985,,,Weedkiller applied,
LongTermLiming,1985,stackyard,28-Aug-85,28/08/1985,,,combine harvested,
LongTermLiming,1986,sawyers,23-Sep-85,23/09/1985,,,Weedkiller applied,
LongTermLiming,1986,sawyers,08-Oct-85,08/10/1985,,,ploughed,
LongTermLiming,1986,sawyers,23-Oct-85,23/10/1985,,,"Rolled, disced, rotary harrowed, seed sown",
LongTermLiming,1986,sawyers,30-Apr-86,30/04/1986,,,N applied,
LongTermLiming,1986,sawyers,10-Sep-85,10/09/1985,,,combine harvested,
LongTermLiming,1986,stackyard,09-Oct-85,09/10/1985,,,ploughed,
LongTermLiming,1986,stackyard,22-Oct-85,22/10/1985,,,"Rolled, per harrowed, seed sown",
LongTermLiming,1986,stackyard,30-Apr-86,30/04/1986,,,N applied,
LongTermLiming,1986,stackyard,19-May-86,19/05/1986,,,Weedkiller applied,
LongTermLiming,1986,stackyard,07-Sep-85,07/09/1985,,,combine harvested,
LongTermLiming,1987,sawyers,13-Nov-86,13/11/1986,,,Chalk treatments applied,
LongTermLiming,1987,sawyers,14-Nov-86,14/11/1986,,,ploughed,
LongTermLiming,1987,sawyers,31-Mar-87,31/03/1987,,,"spring cultivated, rotary harrowed, seed sown, harrowed",
LongTermLiming,1987,sawyers,13-Apr-87,13/04/1987,,,Weedkiller applied,
LongTermLiming,1987,sawyers,09-Jul-87,09/07/1987,,,Fungicide and insecticide applied,
LongTermLiming,1987,sawyers,17-Nov-86,17/11/1986,,,combine harvested,
LongTermLiming,1987,stackyard,16-Sep-86,16/09/1986,,,glyphosate applied,
LongTermLiming,1987,stackyard,13-Nov-86,13/11/1986,,,Chalk treatments applied,
LongTermLiming,1987,stackyard,28-Nov-86,28/11/1986,,,ploughed,
LongTermLiming,1987,stackyard,06-Apr-87,06/04/1987,,,"Spike harrowed with crumbler attached, seed sown",
LongTermLiming,1987,stackyard,13-Apr-87,13/04/1987,,,"Harrowed, terbutryne and terbuthylazine applied",
LongTermLiming,1987,stackyard,08-May-87,08/05/1987,,,Deltamethrin applied,
LongTermLiming,1987,stackyard,13-Jul-87,13/07/1987,,,"Benomyl, pirimicarb applied",
LongTermLiming,1987,stackyard,18-Nov-86,18/11/1986,,,combine harvested,
LongTermLiming,1988,sawyers,14-Dec-87,14/12/1987,,,"P treatments, K, Mg applied",
LongTermLiming,1988,sawyers,15-Dec-87,15/12/1987,,,ploughed,
LongTermLiming,1988,sawyers,05-Apr-88,05/04/1988,,,Heavy spring-tine cultivated,
LongTermLiming,1988,sawyers,07-Apr-88,07/04/1988,,,N applied,
LongTermLiming,1988,sawyers,12-Apr-88,12/04/1988,,,"Weedkiller applied, spring cultivated twice",
LongTermLiming,1988,sawyers,13-Apr-88,13/04/1988,,,"rotary harrowed, seed sown, harrowed",
LongTermLiming,1988,sawyers,19-Sep-87,19/09/1987,,,desiccant applied,
LongTermLiming,1988,sawyers,24-Oct-87,24/10/1987,,,combine harvested,
LongTermLiming,1988,stackyard,10-Feb-88,10/02/1988,,,"P treatments, K, Mg applied",
LongTermLiming,1988,stackyard,23-Feb-88,23/02/1988,,,ploughed,
LongTermLiming,1988,stackyard,05-Apr-88,05/04/1988,,,Heavy spring-tine cultivated,
LongTermLiming,1988,stackyard,22-Apr-88,22/04/1988,,,"N applied, spike harrowed with crumbler attached, trifluralin applied, spike harrowed with crumbler attached, seed sown",
LongTermLiming,1988,stackyard,05-May-88,05/05/1988,,,Linuron applied,
LongTermLiming,1988,stackyard,21-Sep-87,21/09/1987,,,desiccant applied,
LongTermLiming,1988,stackyard,01-Nov-87,01/11/1987,,,combine harvested,
LongTermLiming,1989,sawyers,20-Dec-88,20/12/1988,,,ploughed,
LongTermLiming,1989,sawyers,29-Mar-89,29/03/1989,,,"Heavy spring-tine cultivated, rotary harrowed",
LongTermLiming,1989,sawyers,30-Mar-89,30/03/1989,,,"rotary harrowed, seed sown, 3 harrowed, rolled",
LongTermLiming,1989,sawyers,31-Mar-89,31/03/1989,,,Weedkiller applied,
LongTermLiming,1989,sawyers,10-May-89,10/05/1989,,,Deltamethrin applied,
LongTermLiming,1989,sawyers,31-May-89,31/05/1989,,,Deltamethrin applied,
LongTermLiming,1989,sawyers,14-Jun-89,14/06/1989,,,Pirimicarb applied,
LongTermLiming,1989,sawyers,14-Jul-89,14/07/1989,,,"Benomyl, fenpropimorph applied",
LongTermLiming,1989,sawyers,14-Aug-89,14/08/1989,,,combine harvested,
LongTermLiming,1989,stackyard,14-Dec-88,14/12/1988,,,ploughed,
LongTermLiming,1989,stackyard,28-Mar-89,28/03/1989,,,spring-tine cultivated,
LongTermLiming,1989,stackyard,31-Mar-89,31/03/1989,,,"rotary harrowed, seed sown",
LongTermLiming,1989,stackyard,21-Apr-89,21/04/1989,,,"Simazine, trietazine applied",
LongTermLiming,1989,stackyard,22-May-89,22/05/1989,,,Deltamethrin applied,
LongTermLiming,1989,stackyard,07-Jun-89,07/06/1989,,,and,
LongTermLiming,1989,stackyard,07-Jun-89,07/06/1989,,,Alloxydim-sodium applied,
LongTermLiming,1989,stackyard,22-Jun-89,22/06/1989,,,Pirimicarb applied,
LongTermLiming,1989,stackyard,12-Jul-89,12/07/1989,,,"Benomyl, fenpropimorph applied",
LongTermLiming,1989,stackyard,22-Aug-89,22/08/1989,,,combine harvested,
LongTermLiming,1990,sawyers,23-Aug-90,23/08/1990,,,"Tine cultivated with vibrating tines 60 cm apart, 45 cm deep",
LongTermLiming,1990,sawyers,24-Nov-89,24/11/1989,,,ploughed,
LongTermLiming,1990,sawyers,05-Mar-90,05/03/1990,,,spring-tine cultivated,
LongTermLiming,1990,sawyers,06-Mar-90,06/03/1990,,,"rotary harrowed, glyphosate applied, rotary harrowed, seed sown, harrowed, rolled",
LongTermLiming,1990,sawyers,12-Mar-90,12/03/1990,,,"Simazine, trietazine applied",
LongTermLiming,1990,sawyers,17-May-90,17/05/1990,,,Deltamethrin applied,
LongTermLiming,1990,sawyers,05-Jun-90,05/06/1990,,,Pirimicarb applied,
LongTermLiming,1990,sawyers,15-Aug-90,15/08/1990,,,combine harvested,
LongTermLiming,1990,stackyard,01-Sep-89,01/09/1989,,,glyphosate applied,
LongTermLiming,1990,stackyard,05-Jan-90,05/01/1990,,,ploughed,
LongTermLiming,1990,stackyard,05-Mar-90,05/03/1990,,,"glyphosate applied, per harrowed with crumbler attached, seed sown",
LongTermLiming,1990,stackyard,13-Mar-90,13/03/1990,,,"Simazine, trietazine applied",
LongTermLiming,1990,stackyard,25-May-90,25/05/1990,,,paraquat applied,
LongTermLiming,1991,sawyers,23-Aug-91,23/08/1990,,,"N, K applied",
LongTermLiming,1991,sawyers,28-Aug-91,28/08/1990,,,ploughed,
LongTermLiming,1991,sawyers,29-Aug-91,29/08/1990,,,rolled,
LongTermLiming,1991,sawyers,30-Aug-91,30/08/1990,,,rotary harrowed,
LongTermLiming,1991,sawyers,31-Aug-91,31/08/1990,,,"rotary harrowed, seed sown, harrowed, rolled, metazachlor applied",
LongTermLiming,1991,sawyers,27-Sep-90,27/09/1990,,,Irrigated,
LongTermLiming,1991,sawyers,07-Nov-90,07/11/1990,,,Deltamethrin applied,
LongTermLiming,1991,sawyers,03-Dec-90,03/12/1990,,,"Prochloraz, Mg applied",
LongTermLiming,1991,sawyers,17-Dec-90,17/12/1990,,,Clopyralid applied,
LongTermLiming,1991,sawyers,04-Mar-91,04/03/1991,,,N applied,
LongTermLiming,1991,sawyers,12-Apr-91,12/04/1991,,,sections deltamethrin applied,
LongTermLiming,1991,sawyers,23-Apr-91,23/04/1991,,,sections prochloraz and Mn applied,
LongTermLiming,1991,sawyers,30-Jul-91,30/07/1991,,,desiccant with wetting agent applied,
LongTermLiming,1991,sawyers,07-Aug-91,07/08/1991,,,combine harvested,
LongTermLiming,1991,stackyard,15-Aug-91,15/08/1991,,,disced,
LongTermLiming,1991,stackyard,21-Aug-91,21/08/1991,,,"Subsoiled with tines 1.5m apart, 0.4 m deep",
LongTermLiming,1991,stackyard,22-Aug-91,22/08/1991,,,"ploughed, rolled",
LongTermLiming,1991,stackyard,28-Aug-91,28/08/1990,,,"N, K applied",
LongTermLiming,1991,stackyard,30-Aug-91,30/08/1991,,,"rotary harrowed with crumbler attached, seed sown",
LongTermLiming,1991,stackyard,01-Nov-90,01/11/1990,,,"Weedkillers, adjuvant applied",
LongTermLiming,1991,stackyard,15-Nov-90,15/11/1990,,,Deltamethrin applied,
LongTermLiming,1991,stackyard,03-Dec-90,03/12/1990,,,Mg applied,
LongTermLiming,1991,stackyard,15-Mar-91,15/03/1991,,,N applied,
LongTermLiming,1991,stackyard,12-Apr-91,12/04/1991,,,sections deltamethrin applied with Fungicide,
LongTermLiming,1991,stackyard,09-May-91,09/05/1991,,,Mn applied,
LongTermLiming,1991,stackyard,01-Aug-91,01/08/1991,,,desiccant with wetting agent applied,
LongTermLiming,1991,stackyard,13-Aug-91,13/08/1991,,,combine harvested,
LongTermLiming,1992,sawyers,25-Aug-91,25/08/1991,,,"Deep-tine cultivated with vibrating tines 60 cm apart, 45 cm deep.",B
LongTermLiming,1992,sawyers,26-Aug-91,26/08/1991,,,"ploughed, rolled",B
LongTermLiming,1992,sawyers,04-Sep-91,04/09/1991,,,rotary harrowed,B
LongTermLiming,1992,sawyers,05-Sep-91,05/09/1991,,,"rotary harrowed, Libravo, dressed Hydraguard and Rovral WP, drilled at 6.1 kg, rolled.",B
LongTermLiming,1992,sawyers,06-Sep-91,06/09/1991,,,Butisan S at 2.5 l in 200 l,B
LongTermLiming,1992,sawyers,24-Oct-91,24/10/1991,,,NK as (25:0:16) at 200 kg.,B
LongTermLiming,1992,sawyers,02-Dec-91,02/12/1991,,,Vytel Liquid carted Magnesium at 2.0 l in 200 l,B
LongTermLiming,1992,sawyers,05-Mar-92,05/03/1992,,,SULPHUR 30: 30 kg S as gypsum.,T
LongTermLiming,1992,sawyers,05-Mar-92,05/03/1992,,,34.5% N at 220 kg.,B
LongTermLiming,1992,stackyard,13-Apr-92,13/04/1992,,,ploughed cropped failed.,B
LongTermLiming,1992,stackyard,03-Sep-91,03/09/1991,,,ploughed,B
LongTermLiming,1992,stackyard,06-Sep-91,06/09/1991,,,"rotary cultivated, Libravo, dressed Hydraguard and Rovral WP, drilled at 6.0 kg, rolled. S",B
LongTermLiming,1992,stackyard,29-Oct-91,29/10/1991,,,NK as (25:0:16) at 200 kg.,B
LongTermLiming,1992,stackyard,15-Jan-92,15/01/1992,,,Benazalox at 1.25 kg in 200 l,B
LongTermLiming,1992,stackyard,05-Mar-92,05/03/1992,,,SULPHUR 30: 30 kg S as gypsum.,T
LongTermLiming,1992,stackyard,06-Mar-92,06/03/1992,,,34.5% N at 220 kg.,B
LongTermLiming,1992,stackyard,13-May-92,13/05/1992,,,ploughed cropped failed.,
LongTermLiming,1992,stackyard,,,,,Flowering to crop failed no yields were taken.,B
LongTermLiming,1993,sawyers,29-Sep-92,29/09/1992,,,ploughed,B
LongTermLiming,1993,sawyers,07-Oct-92,07/10/1992,,,"rotary harrowed, CH 304/70, cultivated with rhizobium, drilled at 100 kg.",B
LongTermLiming,1993,sawyers,13-Oct-92,13/10/1992,,,Opogard 500 FW at 2.8 l in 200 l,B
LongTermLiming,1993,sawyers,16-Apr-93,16/04/1993,,,SULPHUR 30: 30 kg S as gypsum.,T
LongTermLiming,1993,sawyers,22-Jun-93,22/06/1993,,,per Dimethoate 40 at 1.7 1 in 200 l,B
LongTermLiming,1993,sawyers,02-Jul-93,02/07/1993,,,Mistral at 1.0 ll in 200 l : B : Sportak 45 at 1.1 1 in 200 l,B
LongTermLiming,1993,sawyers,06-Sep-93,06/09/1993,,,Stefes Diquat at 3.0 l with Vassgro Spreader at 0.30 1 in 260 1.,B
LongTermLiming,1993,stackyard,10-Oct-93,10/10/1993,,,combine harvested,B
LongTermLiming,1993,stackyard,02-Oct-92,02/10/1992,,,"rotary harrowed, CH 304/70, cultivated with rhizobium, drilled at 100 kg.",B
LongTermLiming,1993,stackyard,12-Oct-92,12/10/1992,,,Opogard S00 FW at 1.8 1 and Scythe at 3.0 l in 200 l,B
LongTermLiming,1993,stackyard,22-Mar-93,22/03/1993,,,ploughed cropped failed.,B
LongTermLiming,1993,stackyard,08-Jul-93,08/07/1993,,,rotary cultivated,
LongTermLiming,1993,stackyard,,,,,At Rothamsted plant sampled were taken in ear June from transects across plots for a failed study of the relation between soil pH grain and plant growth. Harvested grain sampled were taken for sulphur analysis.,
LongTermLiming,1993,stackyard,,,,,At Woburn the crop failed and no yields were taken.,
LongTermLiming,1993,stackyard,,,,,"At Rothamsted, most CHALK 0 plots failed. They have been omitted from the analysis.",
LongTermLiming,1994,sawyers,16-Oct-93,16/10/1993,,,ploughed,B
LongTermLiming,1994,sawyers,19-Oct-93,19/10/1993,,,disced,B
LongTermLiming,1994,sawyers,20-Oct-93,20/10/1993,,,"spring cultivated, CH304/70 drilled at 40 seed per m^.",B
LongTermLiming,1994,sawyers,26-Oct-93,26/10/1993,,,Opogard 500 FW at 2.8 l in 200 l,B
LongTermLiming,1994,sawyers,16-Feb-94,16/02/1994,,,Atlas Simazine at 1.0 l in 200 l,B
LongTermLiming,1994,sawyers,13-Jun-94,13/06/1994,,,SULPHUR 30: 30 kg S as gypsum.,T
LongTermLiming,1994,stackyard,06-Sep-94,06/09/1994,,,Barclay Gallup at 4.0 l in 200 l,B
LongTermLiming,1994,stackyard,16-Sep-93,16/09/1993,,,ploughed,B
LongTermLiming,1994,stackyard,24-Sep-93,24/09/1993,,,"rotary harrowed, CH304/70 drilled at 40 seed per m^.",B
LongTermLiming,1994,stackyard,18-Feb-94,18/02/1994,,,Atlas Simazine at 1.0 l in 200 l,B
LongTermLiming,1994,stackyard,10-Mar-94,10/03/1994,,,SULPHUR 30: 30 kg S as gypsum.,T
LongTermLiming,1994,stackyard,09-May-94,09/05/1994,,,Sportak 45 at 1.5 l in 200 l,
LongTermLiming,1994,stackyard,,,,,"Due to poor Winter survival at Rothamsted and to excessive grazing damage at Woburn, both crops were abandoned in summer and no yields were taken. ",B
LongTermLiming,1995,sawyers,06-Sep-94,06/09/1994,,,Barclay Gallup at 4.0 l in 200 l,B
LongTermLiming,1995,sawyers,12-Sep-94,12/09/1994,,,topped.,B
LongTermLiming,1995,sawyers,14-Sep-94,14/09/1994,,,ploughed,B
LongTermLiming,1995,sawyers,29-Sep-94,29/09/1994,,,"disced, heavy spring cultivated.",B
LongTermLiming,1995,sawyers,30-Sep-94,30/09/1994,,,"rotary harrowed, Genesis, dressed Rappor, drilled at 380 seed per m.",B
LongTermLiming,1995,sawyers,24-Nov-94,24/11/1994,,,Alpha Isoproturon 500 at 2.5 l with Stomp 400 at 2.5 l in 200 l,B
LongTermLiming,1995,sawyers,13-Apr-95,13/04/1995,,,34.5% N at 435 kg.,B
LongTermLiming,1995,sawyers,01-May-95,01/05/1995,,,SULPHUR 30: Gypsum (17.5% S) at 171 kg.,T
LongTermLiming,1995,sawyers,10-May-95,10/05/1995,,,Halo at 2.0 l in 200 l,B
LongTermLiming,1995,sawyers,16-Jun-95,16/06/1995,,,Halo at 2.0 l with Patrol at 0.5 l in 300 l,B
LongTermLiming,1995,stackyard,02-Aug-95,02/08/1995,,,combine harvested,B
LongTermLiming,1995,stackyard,23-Sep-94,23/09/1994,,,ploughed,B
LongTermLiming,1995,stackyard,30-Sep-94,30/09/1994,,,"rotary harrowed, Genesis, dressed Rappor, drilled at 300 seed per m"". Rolled.",B
LongTermLiming,1995,stackyard,28-Nov-94,28/11/1994,,,Panther at 2.0 l with Dec at 0.20 1 in 200 l,B
LongTermLiming,1995,stackyard,13-Mar-95,13/03/1995,,,SULPHUR 30: Gypsum (17.5% S) at 171 kg.,T
LongTermLiming,1995,stackyard,15-Mar-95,15/03/1995,,,34.5% N at 116 kg.,B
LongTermLiming,1995,stackyard,21-Apr-95,21/04/1995,,,34.5% N at 348 kg.,B
LongTermLiming,1995,stackyard,28-Apr-95,28/04/1995,,,Halo at 2.0 l in 200 l,B
LongTermLiming,1995,stackyard,01-Jun-95,01/06/1995,,,Cyclone at 1.0 l with Mallard at 0.3 l in 200 l,B
LongTermLiming,1995,stackyard,30-Jun-95,30/06/1995,,,Pirimicarb 50 DG at 280 g in 300 l,B
LongTermLiming,1995,stackyard,04-Aug-95,04/08/1995,,,combine harvested,
LongTermLiming,1995,stackyard,,,,,"At Rothamsted, CHALK 0 plots failed, and have been omitted from the analyses.",
LongTermLiming,1996,sawyers,10-Aug-95,10/08/1995,,,Straw baled,B
LongTermLiming,1996,sawyers,22-Aug-95,22/08/1995,,,Sub-soiled.,B
LongTermLiming,1996,sawyers,25-Sep-95,25/09/1995,,,ploughed,B
LongTermLiming,1996,sawyers,28-Sep-95,28/09/1995,,,"rotary harrowed, Hereward, dressed Panoctine, drilled at 380 seed per m?.",B
LongTermLiming,1996,sawyers,11-Mar-96,11/03/1996,,,34.5% N at 116 kg.,B
LongTermLiming,1996,sawyers,09-Apr-96,09/04/1996,,,SULPHUR 30: Gypsum (17.5% S) at 171 kg.,T
LongTermLiming,1996,sawyers,15-Apr-96,15/04/1996,,,34.5% N at 463 kg.,B
LongTermLiming,1996,sawyers,26-Apr-96,26/04/1996,,,Ally at 30 g with Cheetah per at 1.25 l and Barclay Holdup at 2.3 l in 200 l,B
LongTermLiming,1996,sawyers,13-Jun-96,13/06/1996,,,Alto 100 SL at 0.6 l with Mallard 750 EC at 0.4 l in 300 l,B
LongTermLiming,1996,stackyard,09-Aug-96,09/08/1996,,,combine harvested,B
LongTermLiming,1996,stackyard,25-Aug-95,25/08/1995,,,Sub-soiled.,B
LongTermLiming,1996,stackyard,19-Sep-95,19/09/1995,,,ploughed,B
LongTermLiming,1996,stackyard,23-Sep-95,23/09/1995,,,rolled,B
LongTermLiming,1996,stackyard,03-Oct-95,03/10/1995,,,"rotary harrowed, Hereward, dressed Sibutol, drilled at 375 seed per m^.",B
LongTermLiming,1996,stackyard,13-Nov-95,13/11/1995,,,Panther at 2.0 l in 200 l,B
LongTermLiming,1996,stackyard,13-Mar-96,13/03/1996,,,34.5% N at 116 kg.,B
LongTermLiming,1996,stackyard,19-Mar-96,19/03/1996,,,SULPHUR 30: Gypsum (17.5% S) at 171 kg.,T
LongTermLiming,1996,stackyard,16-Apr-96,16/04/1996,,,34.5% N at 348 kg.,B
LongTermLiming,1996,stackyard,30-Apr-96,30/04/1996,,,Halo at 1.5 l in 200 l,B
LongTermLiming,1996,stackyard,06-Jun-96,06/06/1996,,,Silvacur at 1.0 l in 300 l,B
LongTermLiming,1996,stackyard,19-Aug-96,19/08/1996,,,combine harvested,
LongTermLiming,1996,stackyard,,,,,"At Rothamsted, most CHALK 0 plots failed. They have been omitted from the analysis.",
