Experiment,year,site,start_date,new_start_date,end_date,new_end_date,operation,Column
LongTermLiming,1966,stackyard,10-Mar-66,10/03/1966,,,"P, K applied",
LongTermLiming,1966,stackyard,11-Mar-66,11/03/1966,,,"Sulphate of ammonia applied, seed drilled at 150 lb",
LongTermLiming,1966,stackyard,11-May-66,11/05/1966,,,sprayed,
LongTermLiming,1966,stackyard,07-Jun-66,07/06/1966,,,Nitro-chalk' applied by zachine,
LongTermLiming,1966,stackyard,08-Sep-65,08/09/1965,,,combine harvested,
LongTermLiming,1966,stackyard,None,None,,,variety: Maris Badger,
LongTermLiming,1967,sawyers,16-Sep-66,16/09/1966,,,ploughed,
LongTermLiming,1967,sawyers,22-Feb-67,22/02/1967,,,"P, K applied",
LongTermLiming,1967,sawyers,03-Mar-67,03/03/1967,,,seed drilled at 140 lb per acre,
LongTermLiming,1967,sawyers,12-May-67,12/05/1967,,,Weedkiller applied,
LongTermLiming,1967,sawyers,22-Aug-67,22/08/1967,,,combine harvested,
LongTermLiming,1967,sawyers,None,None,,,variety: Maris Badger,
LongTermLiming,1967,stackyard,27-Sep-66,27/09/1966,,,"Aminotriazole, ammonia thiocyanate applied",
LongTermLiming,1967,stackyard,28-Oct-66,28/10/1966,,,ploughed,
LongTermLiming,1967,stackyard,2h-Feb-1967,24/02/1967,,,"P, K applied",
LongTermLiming,1967,stackyard,lh-Mar-1967,04/03/1967,,,"Sulphate of ammonia applied, seed drilled at 140 lb",
LongTermLiming,1967,stackyard,21-Mar-67,21/03/1967,,,Remainder of sulphate of ammonia applied,
LongTermLiming,1967,stackyard,09-May-67,09/05/1967,,,Ioxynil/mecoprop applied,
LongTermLiming,1967,stackyard,21-Aug-67,21/08/1967,,,combine harvested,
LongTermLiming,1967,stackyard,None,None,,,variety: Maris Badger,
LongTermLiming,1968,sawyers,25-Sep-67,25/09/1967,,,ploughed,
LongTermLiming,1968,sawyers,28-Mar-68,28/03/1968,,,Nitro-chalk' applied,
LongTermLiming,1968,sawyers,04-Apr-68,04/04/1968,,,"P, K applied, plots rotary cultivated, potatoes machine late",
LongTermLiming,1968,sawyers,03-May-68,03/05/1968,,,Weedkiller applied,
LongTermLiming,1968,sawyers,19-Jul-68,19/07/1968,,,Fungicide applied,
LongTermLiming,1968,sawyers,05-Aug-68,05/08/1968,,,Fungicide applied,
LongTermLiming,1968,sawyers,19-Jul-68,19/07/1968,,,Insecticide applied,
LongTermLiming,1968,sawyers,30-Aug-68,30/08/1968,,,sprayed with undiluted BOV at 15 gals,
LongTermLiming,1968,sawyers,03-Oct-67,03/10/1967,,,Lifted,
LongTermLiming,1968,stackyard,15-Nov-67,15/11/1967,,,ploughed,
LongTermLiming,1968,stackyard,26-Mar-68,26/03/1968,,,Nitro-chalk' applied,
LongTermLiming,1968,stackyard,28-Mar-68,28/03/1968,,,"P, K applied, plots rotary cultivated",
LongTermLiming,1968,stackyard,29-Mar-68,29/03/1968,,,potatoes machine late,
LongTermLiming,1968,stackyard,03-May-68,03/05/1968,,,Weedkiller applied,
