experiment,year,new start date,new end date,operation,operation type,sections,Amount,Units,crop,variety,dressing,machine,cropped section,orig_operation
R/BK/1,2011,19/10/2010,20/10/2010,"Drilled (159 kg/ha). Started and rained off, completed next day",seeding process,winter wheat,350,seeds/m2,winter wheat,Hereward,Redigo Deter,,winter wheat,"Drilled Hereward trt Redigo Deter, 350 seeds/m2 (Started and rained off, completed next day)"
R/BK/1,2012,11/10/2011,,seed drilled,seeding process,winter wheat,350,seeds/m2,winter wheat,Hereward,Redigo Deter,,winter wheat,Drilled Hereward trt Redigo Deter 350
R/BK/1,2013,17/05/2013,,seed drilled,seeding process,forage maize,10.2,seeds/m2,forage maize,Hudson,,,forage maize,Powerharrowed and Drilled Maize var Hudson 10.2
R/BK/1,2013,23/02/2013,,seed drilled,seeding process,winter oats,400,seeds/m2,winter oats,Gerald,,,winter oats,Drilled Winter Oats var Gerald
R/BK/1,2013,22/02/2013,,seed drilled,seeding process,winter wheat,450,seeds/m2,winter wheat,Crusoe,Redigo Deter,,winter wheat,Drilled Crusoe tri Redigo Deter 450
R/BK/1,2014,16/05/2014,,seed drilled,seeding process,forage maize,11.5,seeds/m2,forage maize,Hudson,Mesurol,,forage maize,Drilled Maize plots var. Hudson tr Mesurol
R/BK/1,2014,18/10/2013,,seed drilled,seeding process,winter oats,400,seeds/m2,winter oats,Gerald,,,winter oats,Drilled OW var. Gerald
R/BK/1,2014,18/10/2013,,seed drilled,seeding process,winter wheat,400,seeds/m2,winter wheat,Crusoe,,,winter wheat,Drilled all WW Plots var. Crusoe
R/BK/1,2015,15/04/2015,,seed drilled,seeding process,Section 4,10.2,seeds/m2,forage maize,Severus,Mesurol,,forage maize,Drilled Maize var. Severus trt measural - Section 4 10.2 seeds/m only
R/BK/1,2015,09/03/2015,,combination drilled,seeding process,Section 5 only,350,seeds/m2,spring oats,Gerald,Beret Multi,,spring oats,Combination Drilled Winter Oats var. Gerald trt Beret Multi - Section 5 only
R/BK/1,2015,09/03/2015,,seed drilled,seeding process,"Sections 0, 1, 2, 3, 6, 7 & 9 only",350,seeds/m2,spring wheat,Mulika,Redigo,,spring wheat,"Drilled all wheat plots with Spring Wheat var. Mulika trt Redigo - Sections 0, 1, 2, 3, 6, 7 & 9 only"
R/BK/1,2016,05/05/2016,,seed drilled,seeding process,Section 5 only,10.2,seeds/m2,forage maize,Severus,Mesurol,,forage maize,Drilled Severus Maize - trt Mesurol - Section 5 only
R/BK/1,2016,14/10/2015,,seed drilled,seeding process,Section 3,350,seeds/m2,winter oats,Mascani,Kinto,,winter oats,"Drilled Mascani, trt Kinto - Section 3 only"
R/BK/1,2016,14/10/2015,,seed drilled,seeding process,"Sections 0, 1, 2, 4, 6, 7 & 9",350,seeds/m2,winter wheat,Crusoe,Redigo Deter,,winter wheat,"Drilled Crusoe trt Redigo Deter - Sections 0, 1, 2, 4, 6, 7 & 9"
R/BK/1,2017,12/04/2017,,seed drilled,seeding process,Section 3 only,10,seeds/m2,forage maize,Severus,Mesurol,,forage maize,Drilled Severus Maize trt Mesurol - Section 3 only
R/BK/1,2017,11/10/2016,,seed drilled,seeding process,section 2,350,seeds/m2,winter oats,Mascani,Beret Gold,,winter oats,Drilled Mascani trt Beret Gold; Section 2 only
R/BK/1,2017,11/10/2016,,seed drilled,seeding process,winter wheat,350,seeds/m2,winter wheat,Crusoe,Redigo Pro + Deter,,winter wheat,Drilled WW Crusoe trt Redigo Pro + Deter;
