experiment,year,cropped section,new start date,new end date,operation,sections,method,operation type,flag,intensity,Amount,Units,water,water unit,variety,dressing,machine,orig_operation
Broadbalk,1967,cropped sections,01/05/1967,,"ioxynil, mecoprop as Actril C",all sections except Va,sprayed,chemical pest control process,3,,6,pints/acre,20,gallons/acre,,,,all sections except Va sprayed with ioxynil/mecoprop (Actril C at 6 pints in 20 gals)
Broadbalk,1968,all sections,11/09/1967,,ground chalk applied (including extra chalking),,,liming process,3,,,,,,,,,Ground chalk applied (including extra chalking)
Broadbalk,1968,potatoes,04/07/1968,,Mancozeb,,sprayed,chemical pest control process,3,,1.2,lb/acre,37,gallons/acre,,,,sprayed with Mancozeb at 1.2 lb in 37 gals
Broadbalk,1968,potatoes,19/07/1968,,Mancozeb,"sections IA,",sprayed,chemical pest control process,3,,1.2,lb/acre,37,gallons/acre,,,,"sprayed with Mancozeb at 1.2 lb, demeton-s-methyl at 3.5 oz in 37 gals"
Broadbalk,1968,potatoes,19/07/1968,,demeton-s-methyl,"sections IA,",sprayed,chemical pest control process,3,,3.5,oz/acre,37,gallons/acre,,,,
Broadbalk,1968,potatoes,05/08/1968,,Mancozeb,,sprayed,chemical pest control process,3,,1.2,lb/acre,37,gallons/acre,,,,sprayed with Mancozeb at 1.2 lb in 37 gals
Broadbalk,1968,potatoes,31/08/1968,,undiluted BOV,,sprayed,chemical pest control process,3,,20,gallons/acre,,,,,,sprayed with undiluted BOV at 20 gals
Broadbalk,1968,section 00,27/09/1967,,Methyl bromide,,,chemical pest control process,3,,,,,,,,,Methyl bromide
Broadbalk,1968,spring beans,05/03/1968,,simazine,,sprayed,chemical pest control process,3,,1,lb/acre,33,gallons/acre,,,,sprayed with simazine at 1 lb in 33 gals
Broadbalk,1968,spring beans,22/06/1968,,phorate,,granules,chemical pest control process,3,,1.04,lb/acre,,,,,,1.04 lb phorate  in granules
Broadbalk,1968,winter wheat,04/05/1968,,Ioxynil,"all sections except 8, 9",sprayed,chemical pest control process,3,,9,oz/acre,20,gallons/acre,,,,"all sections except 8, 9 sprayed with ioxynil at 9 oz and mecoprop at 27 oz in 20 gals"
Broadbalk,1968,winter wheat,04/05/1968,,mecoprop,"all sections except 8, 9",sprayed,chemical pest control process,3,,27,oz/acre,20,gallons/acre,,,,
