record_id,source_id,sequence,Experiment,harvest_year,plots,start_date_orig,start date,end_date_orig,end_date,primary_activity,flag,record,crop,form,purpose,rate,unit,water_volume,water_volume_unit,method,orig_record
,62,,R/BK/1,1934,fallow sections,,05/04/1934,,06/04/1934,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,harrowed
,63,,R/BK/1,1934,fallow sections,,14/07/1934,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,harrowed
,71,,R/BK/1,1935,all plots,,20/09/1934,,25/09/1934,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,72,,R/BK/1,1935,all plots,,15/08/1934,,21/08/1934,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,73,,R/BK/1,1935,cropped sections,,20/10/1934,,24/10/1934,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,harrowed
,74,,R/BK/1,1935,cropped sections,,23/10/1934,,24/10/1934,AGRO_00000142,2,Seed sown,,,,,,,,,seed sown
,79,,R/BK/1,1935,fallow sections,,22/07/1935,,,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,80,,R/BK/1,1935,fallow sections,,03/10/1935,,14/10/1935,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,81,,R/BK/1,1935,fallow sections,,20/10/1934,,23/10/1934,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,harrowed
,87,,R/BK/1,1936,all plots,,19/08/1935,,22/08/1935,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,88,,R/BK/1,1936,all plots,,02/10/1935,,14/10/1935,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,90,,R/BK/1,1936,all plots,,26/09/1935,,27/09/1935,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,harrowed
,91,,R/BK/1,1936,all plots,,31/10/1935,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,harrowed
,92,,R/BK/1,1936,cropped sections,,07/11/1935,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,harrowed
,93,,R/BK/1,1936,cropped sections,,27/11/1935,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,harrowed
,94,,R/BK/1,1936,cropped sections,,20/03/1936,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,harrowed
,95,,R/BK/1,1936,cropped sections,,06/04/1936,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,harrowed
,96,,R/BK/1,1936,cropped sections,,06/05/1936,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,harrowed
,97,,R/BK/1,1936,all plots,,26/10/1935,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,springtine harrowed
,98,,R/BK/1,1936,cropped sections,,27/11/1935,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,springtine harrowed
,105,,R/BK/1,1936,cropped sections,,06/11/1935,,27/11/1935,AGRO_00000142,2,Seed sown,,,,,,,,,seed sown
,107,,R/BK/1,1936,fallow sections,,15/04/1936,,,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,108,,R/BK/1,1936,fallow sections,,22/07/1936,,,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,109,,R/BK/1,1936,fallow sections,,10/08/1936,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,harrowed
,113,,R/BK/1,1937,all plots,,15/09/1936,,24/09/1936,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,116,,R/BK/1,1937,all plots,,15/10/1936,,,AGRO_00000002,2,Tractor spring-tine harrowed,,,spring-tine harrow,,,,,,tractor spring-tine harrowed
,117,,R/BK/1,1937,all plots,,16/10/1936,,,AGRO_00000004,2,Tractor disc harrowed dung plots,,AGRO_00000128,,,,,,,tractor disc harrowed dung plots
,118,,R/BK/1,1937,cropped sections,,17/10/1936,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,springtine harrowed
,119,,R/BK/1,1937,cropped sections,,20/10/1936,,21/10/1936,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,harrowed
,123,,R/BK/1,1937,cropped sections,,20/10/1936,,21/10/1936,AGRO_00000142,2,Seed sown,,,,,,,,,seed sown
,125,,R/BK/1,1937,fallow sections,,17/10/1936,,,AGRO_00000004,2,Tractor rolled and harrowed,,,c_3498,,,,,,tractor rolled and harrowed then spring-tine harrowed
,125,,R/BK/1,1937,fallow sections,,17/10/1936,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,tractor rolled and harrowed then spring-tine harrowed
,126,,R/BK/1,1937,fallow sections,,02/04/1937,,27/04/1937,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,springtine harrowed
,127,,R/BK/1,1937,fallow sections,,10/05/1937,,,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,131,,R/BK/1,1938,all plots,,06/09/1937,,29/09/1937,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,134,,R/BK/1,1938,cropped sections,,04/11/1937,,06/11/1937,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,harrowed
,135,,R/BK/1,1938,cropped sections,,15/03/1938,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,harrowed
,136,,R/BK/1,1938,cropped sections,,19/10/1937,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,springtine harrowed
,138,,R/BK/1,1938,cropped sections,,04/11/1937,,06/11/1937,AGRO_00000142,2,Seed sown,,,,,,,,,seed sown
,144,,R/BK/1,1938,fallow sections,,07/06/1938,,11/06/1938,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,146,,R/BK/1,1938,fallow sections,,19/10/1937,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,springtine harrowed
,147,,R/BK/1,1938,fallow sections,,05/03/1938,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,springtine harrowed
,148,,R/BK/1,1938,fallow sections,,02/04/1938,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,springtine harrowed
,149,,R/BK/1,1938,fallow sections,,05/05/1938,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,springtine harrowed
,150,,R/BK/1,1938,fallow sections,,15/08/1938,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,springtine harrowed
,152,,R/BK/1,1948,cropped sections,,22/09/1947,,24/09/1947,AGRO_00000002,2,Ploughed,,,,,,,,,Ploughed
,156,,R/BK/1,1948,cropped sections,,22/10/1947,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,springtine harrowed
,157,,R/BK/1,1948,cropped sections,,23/10/1947,,,AGRO_00000002,2,Tooth harrowed,,,AGRO_00000138,,,,,,Tooth harrowed
,159,,R/BK/1,1948,cropped sections,,25/10/1947,,,AGRO_01000020,2,Harrowed in,,,c_3498,,,,,,Harrowed in
,160,,R/BK/1,1948,cropped sections,,12/04/1948,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,Harrowed
,162,,R/BK/1,1948,cropped sections,,27/04/1948,,28/04/1948,AGRO_01000000,2,Nitrogenous fertilisers applied,,,c_5195,,,,,,Nitrogenous fertilisers applied
,164,,R/BK/1,1948,cropped sections,,15/06/1948,,30/07/1948,AGRO_00000023:AGRO_00000217,2,Wild oats hand pulled various days,,,,,,,,,Wild oats hand pulled various days
,166,,R/BK/1,1948,fallow sections,,22/09/1947,,24/09/1947,AGRO_00000002,2,Ploughed,,,,,,,,,Ploughed
,167,,R/BK/1,1948,fallow sections,,22/10/1947,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,Rolled and springtine harrowed
,168,,R/BK/1,1948,fallow sections,,23/10/1947,,25/10/1947,AGRO_00000002,2,Tooth harrowed,,,AGRO_00000138,,,,,,Tooth harrowed
,169,,R/BK/1,1948,fallow sections,,12/04/1948,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,Springtine harrowed
,170,,R/BK/1,1948,fallow sections,,20/04/1948,,,AGRO_00000110:AGRO_00000220,2,Thistles cut,,,,,,,,,Thistles cut
,171,,R/BK/1,1948,fallow sections,,25/05/1948,,27/05/1948,AGRO_00000002,2,Ploughed,,,,,,,,,Ploughed
,173,,R/BK/1,1948,fallow sections,,01/07/1948,,,AGRO_00000110:AGRO_00000220,2,Thistles cut,,,,,,,,,Thistles cut
,174,,R/BK/1,1948,fallow sections,,14/07/1948,,15/07/1948,AGRO_00000002,2,Ploughed,,,,,,,,,Ploughed
,175,,R/BK/1,1948,fallow sections,,06/08/1948,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,Rolled and springtine harrowed
,176,,R/BK/1,1949,cropped sections,,02/09/1948,,16/09/1948,AGRO_00000002,2,Ploughed,,,,,,,,,Ploughed
