source_id,experiment,year,cropped section,new start date,new end date,operation,operation type,Amount,Units
86,Broadbalk,1935,fallow sections,04/07/1935,,cultivated,,,
87,Broadbalk,1936,all plots,19/08/1935,22/08/1935,ploughed,,,
88,Broadbalk,1936,all plots,02/10/1935,14/10/1935,ploughed,,,
89,Broadbalk,1936,cropped sections,07/10/1935,08/10/1935,dung applied,,,
90,Broadbalk,1936,all plots,26/09/1935,27/09/1935,harrowed,,,
91,Broadbalk,1936,all plots,31/10/1935,,harrowed,,,
92,Broadbalk,1936,cropped sections,07/11/1935,,harrowed,,,
93,Broadbalk,1936,cropped sections,27/11/1935,,harrowed,,,
94,Broadbalk,1936,cropped sections,20/03/1936,,harrowed,,,
95,Broadbalk,1936,cropped sections,06/04/1936,,harrowed,,,
96,Broadbalk,1936,cropped sections,06/05/1936,,harrowed,,,
97,Broadbalk,1936,all plots,26/10/1935,,springtine harrowed,,,
98,Broadbalk,1936,cropped sections,27/11/1935,,springtine harrowed,,,
99,Broadbalk,1936,cropped sections,30/10/1935,,rolled,,,
100,Broadbalk,1936,cropped sections,06/05/1936,,rolled,,,
101,Broadbalk,1936,cropped sections,28/10/1935,29/10/1935,manures applied,,,
102,Broadbalk,1936,cropped sections,06/11/1935,,manures applied,,,
103,Broadbalk,1936,cropped sections,15/04/1936,,manures applied,,,
104,Broadbalk,1936,cropped sections,06/05/1936,,manures applied,,,
105,Broadbalk,1936,cropped sections,06/11/1935,27/11/1935,seed sown,,,
106,Broadbalk,1936,cropped sections,21/08/1936,22/08/1936,harvested,,,
107,Broadbalk,1936,fallow sections,15/04/1936,,ploughed,,,
108,Broadbalk,1936,fallow sections,22/07/1936,,ploughed,,,
109,Broadbalk,1936,fallow sections,10/08/1936,,harrowed,,,
110,Broadbalk,1936,fallow sections,30/05/1936,,cultivated,,,
111,Broadbalk,1936,fallow sections,29/06/1936,,cultivated,,,
112,Broadbalk,1936,fallow sections,10/08/1936,,cultivated,,,
113,Broadbalk,1937,all plots,15/09/1936,24/09/1936,ploughed,,,
114,Broadbalk,1937,cropped sections,23/09/1936,,dung applied,,,
115,Broadbalk,1937,all plots,08/10/1936,,cultivated,,,
116,Broadbalk,1937,all plots,15/10/1936,,tractor spring-tine harrowed,,,
117,Broadbalk,1937,all plots,16/10/1936,,tractor disc harrowed dung plots,,,
118,Broadbalk,1937,cropped sections,17/10/1936,,springtine harrowed,,,
119,Broadbalk,1937,cropped sections,20/10/1936,21/10/1936,harrowed,,,
120,Broadbalk,1937,cropped sections,06/10/1936,07/10/1936,manures applied,,,
121,Broadbalk,1937,cropped sections,01/05/1937,02/05/1937,manures applied,,,
122,Broadbalk,1937,cropped sections,10/05/1937,,manures applied,,,
123,Broadbalk,1937,cropped sections,20/10/1936,21/10/1936,seed sown,,,
124,Broadbalk,1937,cropped sections,09/08/1937,11/08/1937,harvested,,,
125,Broadbalk,1937,fallow sections,17/10/1936,,tractor rolled and harrowed then spring-tine harrowed,,,
126,Broadbalk,1937,fallow sections,02/04/1937,27/04/1937,springtine harrowed,,,
127,Broadbalk,1937,fallow sections,10/05/1937,,ploughed,,,
128,Broadbalk,1937,fallow sections,27/05/1937,,cultivated,,,
129,Broadbalk,1937,fallow sections,06/08/1937,,cultivated,,,
130,Broadbalk,1937,fallow sections,10/05/1937,,Nitrate of soda applied to plot 16,,,
131,Broadbalk,1938,all plots,06/09/1937,29/09/1937,ploughed,,,
132,Broadbalk,1938,cropped sections,22/09/1937,,dung applied,,,
133,Broadbalk,1938,cropped sections,14/10/1937,16/10/1937,cultivated,,,
134,Broadbalk,1938,cropped sections,04/11/1937,06/11/1937,harrowed,,,
135,Broadbalk,1938,cropped sections,15/03/1938,,harrowed,,,
136,Broadbalk,1938,cropped sections,19/10/1937,,springtine harrowed,,,
137,Broadbalk,1938,all plots,19/10/1937,,rolled,,,
138,Broadbalk,1938,cropped sections,04/11/1937,06/11/1937,seed sown,,,
139,Broadbalk,1938,cropped sections,16/03/1938,,rolled,,,
140,Broadbalk,1938,cropped sections,12/10/1937,14/10/1937,manures applied,,,
141,Broadbalk,1938,cropped sections,11/03/1938,,manures applied,,,
142,Broadbalk,1938,cropped sections,07/04/1938,,manures applied,,,
143,Broadbalk,1938,cropped sections,05/08/1938,,harvested,,,
144,Broadbalk,1938,fallow sections,07/06/1938,11/06/1938,ploughed,,,
145,Broadbalk,1938,fallow sections,14/10/1937,16/10/1937,cultivated,,,
146,Broadbalk,1938,fallow sections,19/10/1937,,springtine harrowed,,,
147,Broadbalk,1938,fallow sections,05/03/1938,,springtine harrowed,,,
148,Broadbalk,1938,fallow sections,02/04/1938,,springtine harrowed,,,
149,Broadbalk,1938,fallow sections,05/05/1938,,springtine harrowed,,,
150,Broadbalk,1938,fallow sections,15/08/1938,,springtine harrowed,,,
151,Broadbalk,1938,fallow sections,05/05/1938,,rolled,,,
152,Broadbalk,1948,cropped sections,22/09/1947,24/09/1947,Ploughed,,,
153,Broadbalk,1948,cropped sections,24/09/1947,,Dung applied,,,
154,Broadbalk,1948,cropped sections,13/10/1947,15/10/1947,Artificials applied,,,
155,Broadbalk,1948,cropped sections,22/10/1947,,rolled,,,
156,Broadbalk,1948,cropped sections,22/10/1947,,springtine harrowed,,,
157,Broadbalk,1948,cropped sections,23/10/1947,,Tooth harrowed,,,
158,Broadbalk,1948,cropped sections,24/10/1947,25/10/1947,Seed drilled,,,
159,Broadbalk,1948,cropped sections,25/10/1947,,Harrowed in,,,
160,Broadbalk,1948,cropped sections,12/04/1948,,Harrowed,,,
161,Broadbalk,1948,cropped sections,20/04/1948,,Ring rolled,,,
162,Broadbalk,1948,cropped sections,27/04/1948,28/04/1948,Nitrogenous fertilisers applied,,,
163,Broadbalk,1948,cropped sections,07/05/1948,,Second dressing of nitrate of soda applied to plot 16,,,
164,Broadbalk,1948,cropped sections,15/06/1948,30/07/1948,Wild oats hand pulled various days,,,
165,Broadbalk,1948,cropped sections,19/08/1948,20/08/1948,Harvested,,,
166,Broadbalk,1948,fallow sections,22/09/1947,24/09/1947,Ploughed,,,
167,Broadbalk,1948,fallow sections,22/10/1947,,Rolled and springtine harrowed,,,
168,Broadbalk,1948,fallow sections,23/10/1947,25/10/1947,Tooth harrowed,,,
169,Broadbalk,1948,fallow sections,12/04/1948,,Springtine harrowed,,,
170,Broadbalk,1948,fallow sections,20/04/1948,,Thistles cut,,,
171,Broadbalk,1948,fallow sections,25/05/1948,27/05/1948,Ploughed,,,
172,Broadbalk,1948,fallow sections,09/06/1948,,Ring rolled,,,
173,Broadbalk,1948,fallow sections,01/07/1948,,Thistles cut,,,
174,Broadbalk,1948,fallow sections,14/07/1948,15/07/1948,Ploughed,,,
175,Broadbalk,1948,fallow sections,06/08/1948,,Rolled and springtine harrowed,,,
176,Broadbalk,1949,cropped sections,02/09/1948,16/09/1948,Ploughed,,,
177,Broadbalk,1949,cropped sections,11/09/1948,12/09/1948,Dung applied,,,
178,Broadbalk,1949,cropped sections,22/10/1948,,Springtine harrowed,,,
179,Broadbalk,1949,cropped sections,11/11/1948,,Harrowed,,,
180,Broadbalk,1949,cropped sections,11/11/1948,13/11/1948,Seed drilled,,,
181,Broadbalk,1949,cropped sections,11/11/1948,15/11/1948,Artificials applied,,,
182,Broadbalk,1949,cropped sections,13/11/1948,15/11/1948,Harrowed in,,,
183,Broadbalk,1949,cropped sections,14/04/1949,,Harrowed,,,
184,Broadbalk,1949,cropped sections,19/04/1949,,Ring rolled,,,
185,Broadbalk,1949,cropped sections,27/04/1949,,Nitrogenous fertilisers applied,,,
186,Broadbalk,1949,cropped sections,17/05/1949,23/05/1949,Weeds hand pulled,,,
187,Broadbalk,1949,cropped sections,23/05/1949,,Second dressing of nitrate of soda applied to plot 16,,,
188,Broadbalk,1949,cropped sections,27/06/1949,06/07/1949,Wild oats hand pulled various days,,,
189,Broadbalk,1949,cropped sections,25/07/1949,27/07/1949,Wild oats hand pulled various days,,,
190,Broadbalk,1949,cropped sections,05/08/1949,06/08/1949,Harvested,,,
191,Broadbalk,1949,fallow sections,02/09/1948,16/09/1948,Ploughed,,,
192,Broadbalk,1949,fallow sections,22/10/1948,,Springtine harrowed,,,
193,Broadbalk,1949,fallow sections,24/01/1949,31/01/1949,Ploughed,,,
194,Broadbalk,1949,fallow sections,22/03/1949,,Springtine harrowed,,,
195,Broadbalk,1949,fallow sections,14/04/1949,,Springtine harrowed,,,
196,Broadbalk,1949,fallow sections,30/05/1949,,Thistles cut,,,
197,Broadbalk,1949,fallow sections,27/06/1949,,Thistles cut,,,
198,Broadbalk,1949,fallow sections,04/07/1949,05/07/1949,Ploughed,,,
199,Broadbalk,1949,fallow sections,18/07/1949,,Harrowed,,,
200,Broadbalk,1949,fallow sections,20/07/1949,,Ring rolled and Harrowed,,,
201,Broadbalk,1950,cropped sections,24/08/1949,29/08/1949,Ploughed all except dung plots,,,
202,Broadbalk,1950,cropped sections,05/09/1949,06/09/1949,Dung applied and ploughed in,,,
203,Broadbalk,1950,cropped sections,05/09/1949,08/09/1949,"Harrowed, seed drilled and harrowed twice",,,
204,Broadbalk,1950,cropped sections,15/10/1949,01/11/1949,Springtine harrowed,,,
205,Broadbalk,1950,cropped sections,03/11/1949,04/11/1949,Artificials applied,,,
206,Broadbalk,1950,cropped sections,04/11/1949,08/11/1949,Springtine harrowed,,,
207,Broadbalk,1950,cropped sections,20/04/1950,,Nitrogenous fertilisers applied,,,
208,Broadbalk,1950,cropped sections,27/04/1950,,Harrowed,,,
209,Broadbalk,1950,cropped sections,01/05/1950,,Rolled,,,
210,Broadbalk,1950,cropped sections,04/05/1950,,Second dressing of nitrate of soda applied to plot 16,,,
211,Broadbalk,1950,cropped sections,08/08/1950,,Harvested,,,
212,Broadbalk,1950,fallow sections,24/08/1949,29/08/1949,Ploughed all except dung plots,,,
213,Broadbalk,1950,fallow sections,05/09/1949,06/09/1949,Ploughed dung plots,,,
214,Broadbalk,1950,fallow sections,15/10/1949,01/11/1949,Springtine harrowed,,,
215,Broadbalk,1950,fallow sections,04/11/1949,08/11/1949,Springtine harrowed,,,
216,Broadbalk,1950,fallow sections,12/12/1949,,Ploughed,,,
217,Broadbalk,1950,fallow sections,02/01/1950,07/01/1950,Ploughed,,,
218,Broadbalk,1950,fallow sections,13/03/1950,,Springtine harrowed,,,
219,Broadbalk,1950,fallow sections,22/04/1950,,Springtine harrowed,,,
220,Broadbalk,1950,fallow sections,13/05/1950,,Springtine harrowed,,,
