ï»¿source_id,Code,year,Date,plot,orig_record,record,Rate,Unit,flag,water volume,water unit,type,comments,Season,Month / GS
10202,08/W/CS/439,2008,14/12/2007,,Stomp 400 SC,Stomp 400 SC,3.30,l/ha,2,200,l/ha,p,,,
10203,08/W/CS/439,2008,14/12/2007,,Arelon 500,Arelon 500,1.00,l/ha,2,200,l/ha,p,,,
10204,08/W/CS/439,2008,14/12/2007,,Hallmark with Zeon Technology,Hallmark with Zeon Technology,50.00,ml/ha,2,200,l/ha,p,,,
10205,08/W/CS/439,2008,05/03/2008,,Double Top,Double Top,,,2,133.00,kg/ha,,,,
10206,08/W/CS/439,2008,02/05/2008,,Deuce,Deuce,1.00,l/ha,2,200,l/ha,p,,,
10207,08/W/CS/439,2008,02/05/2008,,Bravo 500,Bravo 500,1.00,l/ha,2,200,l/ha,p,,,
10208,08/W/CS/439,2008,02/05/2008,,Flexity,Flexity,0.20,l/ha,2,200,l/ha,p,,,
10209,08/W/CS/439,2008,05/05/2008,,Manganese Sulphate 32% Premium,Manganese Sulphate 32% Premium,5.00,kg/ha,2,200,l/ha,f,,,
10210,08/W/CS/439,2008,05/05/2008,,Activator 90,Activator 90,25.00,ml/ha,2,200,l/ha,p,,,
10211,08/W/CS/439,2008,06/05/2008,,Muriate of Potash,Muriate of Potash,,,2,83.00,kg/ha,f,(no fert sheet),,
10212,08/W/CS/439,2008,07/05/2008,,Double Top,Double Top,,,2,459.00,kg/ha,,(no fert sheet),,
10213,08/W/CS/439,2008,18/05/2008,,Pacifica,Pacifica,0.50,kg/ha,2,200,l/ha,p,,,
10214,08/W/CS/439,2008,18/05/2008,,Biopower,Biopower,1.00,l/ha,2,200,l/ha,p,,,
10215,08/W/CS/439,2008,22/05/2008,,Harmony M SX,Harmony M SX,0.10,kg/ha,2,200,l/ha,p,,,
10216,08/W/CS/439,2008,05/06/2008,,Amistar Opti,Amistar Opti,1.25,l/ha,2,200,l/ha,p,,,
10217,08/W/CS/439,2008,05/06/2008,,Opus,Opus,1.00,l/ha,2,200,l/ha,p,,,
10218,08/W/CS/439,2008,05/06/2008,,Manganese Sulphate,Manganese Sulphate,5.00,kg/ha,2,200,l/ha,f,,,
10219,08/W/CS/439,2008,03/09/2008,,Hand harvested,Hand harvested by sponsor,,,2,,,h,,,
10220,08/W/CS/439,2008,,,#N/A,Amistar Opti,1.25,l/ha,2,200,l/ha,p,,,
10221,08/W/CS/439,2008,,,#N/A,Opus Team,1.00,l/ha,2,200,l/ha,p,,,
10222,09/W/CS/439,2009,08/10/2008,,Roundup Metro,Roundup Max,4.00,l/ha,2,200,l/ha,p, ,, 
10223,09/W/CS/439,2009,05/11/2008,,Chalk,"Chalk - Plots 12, 16, 21, 26, 32, 33",1.00,t/ha,2,,,ch,,, 
10224,09/W/CS/439,2009,05/11/2008,,Chalk,"Chalk - Plots 4, 8, 9, 13, 14, 15, 17, 23, 24, 25, 27, 30",2.00,t/ha,2,,,ch,,, 
10225,09/W/CS/439,2009,05/11/2008,,Chalk,"Chalk - Plots 5, 10, 22, 31",3.00,t/ha,2,,,ch,,, 
10226,09/W/CS/439,2009,05/11/2008,,Chalk,"Chalk - Plots 1, 7, 18, 19",4.00,t/ha,2,,,ch,,, 
10227,09/W/CS/439,2009,07/11/2008,,Hand dig,Hand dug,,,2,,,c, ,, 
10228,09/W/CS/439,2009,14/11/2008,,Karan,Karan,5.00,kg/ha,2,,,p,Karen,, 
10229,09/W/CS/439,2009,19/11/2008,,Hand raked,Hand raked,,,2,,,c, ,, 
10230,09/W/CS/439,2009,19/11/2008,,Hand sow,Hand sow,,,2,,,s, ,, 
10231,09/W/CS/439,2009,19/11/2008,,"Other seed, see comment","Xi19 tr Lattitude, supplied by sponsor",,,2,450.00,seeds/m2,s,,, 
10232,09/W/CS/439,2009,19/11/2008,,Hand raked,Hand raked and consolidated,,,2,,,c,,, 
10233,09/W/CS/439,2009,31/01/2009,,Hand sow,Hand sow,,,2,,,s,,,
10234,09/W/CS/439,2009,31/01/2009,,XI-19 tr Latitude + Beret Gold,Xi19 tr Latitude + Beret Gold,,,2,500.00,seeds/m2,s,,,
10235,09/W/CS/439,2009,30/04/2009,,Nitram,Nitram,,,2,359,kg/ha,f,,,
10236,09/W/CS/439,2009,20/05/2009,,Pacifica,Pacifica,0.50,kg/ha,2,,,p,,,
10237,09/W/CS/439,2009,20/05/2009,,Biopower,Biopower,1.00,l/ha,2,220,l/ha,p,,,
10239,09/W/CS/439,2009,01/06/2009,,Double top,Double Top,,,2,133.00,kg/ha,,,,
10240,09/W/CS/439,2009,03/06/2009,,Opus,Opus,0.80,l/ha,2,200,l/ha,p,,,
10241,09/W/CS/439,2009,03/06/2009,,Amistar,Amistar,1.00,l/ha,2,200,l/ha,p,,,
10242,2011/W/CS/439,2010,30/09/2010,,Sprayed Gallup 360.,Sprayed Gallup 360,4.0,l/ha,2,200,l/ha,p,,,
10243,2011/W/CS/439,2011,14/01/2011,,Raked off last years crop.,Raked off last years crop.,,,2,,,r,,,
10244,2011/W/CS/439,2011,19/01/2011,,"Hand dug plots. Raked. Hand drilled Xi19, dressed Redigo Deter. Raked over and firmed.",Hand dug plots,,,2,,,c,,,
10244,2011/W/CS/439,2011,19/01/2011,,"Hand dug plots. Raked. Hand drilled Xi19, dressed Redigo Deter. Raked over and firmed.",Raked,,,2,,,c,,,
10244,2011/W/CS/439,2011,19/01/2011,,"Hand dug plots. Raked. Hand drilled Xi19, dressed Redigo Deter. Raked over and firmed.","Hand drilled Xi19, dressed Redigo Deter",,,2,500,seeds/m2,s,,,
10244,2011/W/CS/439,2011,19/01/2011,,"Hand dug plots. Raked. Hand drilled Xi19, dressed Redigo Deter. Raked over and firmed.",Raked over and firmed.,,,2,,,c,,,
10245,2011/W/CS/439,2011,26/01/2011,,Broadcast Decoy Wetex.,Broadcast Decoy Wetex.,3.0,kg/ha,2,,,p,,,
10246,2011/W/CS/439,2011,24/03/2011,,Broadcast Double Top.,"Broadcast Double Top (30% SO3, 27% N).",,,2,185,kg/ha,,,,
10247,2011/W/CS/439,2011,26/03/2011,,Sprayed Atlantis WG + Bio Power.,Sprayed Atlantis WG,0.4,l/ha,2,200,l/ha,p,,,
10247,2011/W/CS/439,2011,26/03/2011,,Sprayed Atlantis WG + Bio Power.,Sprayed Bio Power,1.0,l/ha,2,200,l/ha,p,,,
10248,2011/W/CS/439,2011,11/05/2011,,Sprayed Tracker with Bravo 500 with Justice and CCC.,Sprayed Tracker - wheat only,1.0,l/ha,2,200,l/ha,p,,,
10248,2011/W/CS/439,2011,11/05/2011,,Sprayed Tracker with Bravo 500 with Justice and CCC.,Sprayed Bravo 500 - wheat only,1.0,l/ha,2,200,l/ha,p,,,
10248,2011/W/CS/439,2011,11/05/2011,,Sprayed Tracker with Bravo 500 with Justice and CCC.,Sprayed Justice - wheat only,0.25,l/ha,2,200,l/ha,p,,,
10248,2011/W/CS/439,2011,11/05/2011,,Sprayed Tracker with Bravo 500 with Justice and CCC.,Sprayed CCC - wheat only,2.25,l/ha,2,200,l/ha,p,,,
10249,2011/W/CS/439,2011,20/05/2011,,Sprayed Comet with Opus and Bravo 500.,Sprayed Comet,0.6,l/ha,2,200,l/ha,p,,,
10249,2011/W/CS/439,2011,20/05/2011,,Sprayed Comet with Opus and Bravo 500.,sprayed Opus,0.8,l/ha,2,200,l/ha,p,,,
10249,2011/W/CS/439,2011,20/05/2011,,Sprayed Comet with Opus and Bravo 500.,Sprayed Bravo 500,1.0,l/ha,2,200,l/ha,p,,,
10250,2011/W/CS/439,2011,15/08/2011,,Sprayed Hoedown.,Sprayed Hoedown,4.0,l/ha,2,200,l/ha,p,,,
10251,2011/W/CS/439,2011,23/08/2011,,Cut paths with Kubota and Wessex mower,cut paths,,,2,,,,,,
10252,2011/W/CS/439,2011,02/09/2011,,Combined O+Es,"Combined O+Es, combined discards and disposed of produce","
",,2,,,h,,,
10253,2011/W/CS/439,2011,07/09/2011,,Baled and removed straw,Baled straw,,,2,,,h,,,
10253,2011/W/CS/439,2011,07/09/2011,,Baled and removed straw,Removed bales,,,2,,,h,,,
10254,2011/W/CS/439,2011,13/10/2011,,strim around plots,strim around plots - strim around plots and clear ready for resowing,,,2,,,m,,,
10255,2012/W/CS/439,2011,13/10/2011,,Strim and cleared plots,Strim and cleared plots,,,2,,,m,,,
10256,2012/W/CS/439,2011,10/11/2011,,Hand dug plots,Hand dug plots,,,2,,,c,,,
10257,2012/W/CS/439,2011,10/11/2011,,Hand planted Xi19 tr Austral Plus,Hand planted Xi19 tr Austral Plus,,,2,,,s,,,
10258,2012/W/CS/439,2011,23/11/2011,,Applied slug pellets by hand,Applied slug pellets by hand,5,kg/ha,2,,,p,,,
10259,2012/W/CS/439,2012,23/03/2012,,Double Top,Double Top,50,kgN/ha,2,185,kg/ha,,,,
10260,2012/W/CS/439,2012,29/03/2012,,Spray Pacifica + biopower,Spray Pacifica. Warren - headland only and 4 tramlines from beans and triangle E of ww1250.,0.4,kg/ha,2,,,p,,,
10260,2012/W/CS/439,2012,29/03/2012,,Spray Pacifica + biopower,Sprayed biopower. Warren - headland only and 4 tramlines from beans and triangle E of ww1250.,1.0,l/ha,2,,,p,,,
10261,2012/W/CS/439,2012,08/05/2012,,Nitram,Nitram,,,2,319,kg/ha,f,,,
10262,2012/W/CS/439,2012,13/05/2012,,spray fungicide T1 + herbicide,Spray fungicide T1 + herbicide,,,2,,,p,,,
10263,2012/W/CS/439,2012,20/05/2012,,strim around plots,strim around plots - cut paths and strim around plots,,,2,,,m,,,
10264,2012/W/CS/439,2012,19/09/2012,,Strim and cleared plots,Strim and cleared plots,,,2,,,m,,,
10265,2013/W/CS/439,2012,01/10/2012,,Strim and cleared plots,Strim and cleared plots,,,2,,,m,,,
10266,2013/W/CS/439,2012,20/10/2012,,Sprayed glyphosate,Sprayed glyphosate,4.0,l/ha,2,,,p,,,
10267,2013/W/CS/439,2012,05/11/2012,,Hand dug plots,"Hand dug plots, planted 55g per plot",,,2,,,c,,,
10268,2013/W/CS/439,2012,15/11/2012,,Errected rabbit netting,Errected rabbit netting,,,2,,,m,,,
10269,2013/W/CS/439,2012,29/11/2012,,Put up Humming tape,Put up Humming tape,,,2,,,pc,,,
10270,2013/W/CS/439,2013,19/04/2013,,Applied Double Top Fertilizer,Double Top,,,2,222,kg/ha,,,,
10271,2013/W/CS/439,2013,30/04/2013,,Applied Nitram,Nitram,,,2,232,kg/ha,f,,,
10272,2013/W/CS/439,2013,01/05/2013,,Sprayed Pacifica and Bio-Power,Sprayed Pacifica,0.5,l/ha,2,,,p,,,
10272,2013/W/CS/439,2013,01/05/2013,,Sprayed Pacifica and Bio-Power,Sprayed Biopower,1.0,l/ha,2,,,p,,,
10273,2013/W/CS/439,2013,06/08/2013,,Sprayed Gallup 360 + X-change,Sprayed Gallup 360,4.0,l/ha,2,147,l/ha,p,,,
10273,2013/W/CS/439,2013,06/08/2013,,Sprayed Gallup 360 + X-change,Sprayed X-change,0.25,l/ha,2,147,l/ha,p,,,
10274,2013/W/CS/439,2013,12/09/2013,,Sprayed Gallup 360.,Sprayed Gallup 360,4.0,l/ha,2,150,l/ha,p,,,
10275,2014/W/CS/439,2013,15/10/2013,,Raked off last years crop.,Raked off last years crop.,,,2,,,r,,,
10276,2014/W/CS/439,2013,17/10/2013,,Hand Planted,"Hand planted, Conqueor tr Redigo",70,g/plot,2,,,s,,,
