experiment,year,site,type,treatment,amount,orig_treatment,op_join,tank_mixture
CS326,1988,far field,weedkiller,glyphosate,1.1 kg in 200 l,"glyphosate at 1.1 kg in 200 l, followed by 0.27 kg in 200 l, followed by 1.1 kg in 200 l",glyphosate,1
CS326,1988,far field,weedkiller,2nd glyphosate,0.27 kg in 200 l,"glyphosate at 1.1 kg in 200 l, followed by 0.27 kg in 200 l, followed by 1.1 kg in 200 l",glyphosate,1
CS326,1988,far field,weedkiller,3rd glyphosate,1.1 kg in 200 l,"glyphosate at 1.1 kg in 200 l, followed by 0.27 kg in 200 l, followed by 1.1 kg in 200 l",glyphosate,1
CS326,1988,far field,weedkiller,isoproturon,2.1 kg,"isoproturon at 2.1 kg with bromoxynil at 0.20 kg, ioxynil at 0.20 kg and mecoprop at 1.6 kg in 220 l","isoproturon , bromoxynil , ioxynil and mecoprop",1
CS326,1988,far field,weedkiller,bromoxynil,0.20 kg,"isoproturon at 2.1 kg with bromoxynil at 0.20 kg, ioxynil at 0.20 kg and mecoprop at 1.6 kg in 220 l","isoproturon , bromoxynil , ioxynil and mecoprop",1
CS326,1988,far field,weedkiller,ioxynil,0.20 kg,"isoproturon at 2.1 kg with bromoxynil at 0.20 kg, ioxynil at 0.20 kg and mecoprop at 1.6 kg in 220 l","isoproturon , bromoxynil , ioxynil and mecoprop",1
CS326,1988,far field,weedkiller,mecoprop,1.6 kg in 220 l,"isoproturon at 2.1 kg with bromoxynil at 0.20 kg, ioxynil at 0.20 kg and mecoprop at 1.6 kg in 220 l","isoproturon , bromoxynil , ioxynil and mecoprop",1
CS326,1988,far field,fungicide,propiconazole,0.12 kg,propiconazole at 0.12 kg with tridemorph at 0.25 kg in 220 l,"propiconazole , tridemorph",1
CS326,1988,far field,fungicide,tridemorph,0.25 kg in 220 l,propiconazole at 0.12 kg with tridemorph at 0.25 kg in 220 l,"propiconazole , tridemorph",1
CS326,1989,great knott,manures,magnesian limestone,5.0 t.,magnesian limestone at 5.0 t.,magnesian imestone t,
CS326,1989,great knott,manures,(0:18:36),920 kg,(0:18:36) at 920 kg,( : : ),
CS326,1989,great knott,manures,nitram,120 kg,nitram at 120 kg followed by 580 kg,nitram,1
CS326,1989,great knott,manures,2nd nitram,580 kg,nitram at 120 kg followed by 580 kg,nitram,1
CS326,1989,great knott,weedkiller,paraquat,0.60 kg ion in 200 l,paraquat at 0.60 kg ion in 200 l,paraquat,1
CS326,1989,great knott,weedkiller,isoproturon,2.5 kg in 200 l,isoproturon at 2.5 kg in 200 l,isoproturon,1
CS326,1989,great knott,weedkiller,metsulfuron-methyl,6.0 g,metsulfuron-methyl at 6.0 g with fluroxypyr at 0.15 kg in 200 l,"metsulfuron-methyl g, fluroxypyr",1
