site,year,new_start_date,new_end_date,operation,operation_type,intensity,amount,unit,crop,variety,dressing,machine
W/CS/326,2005,02/10/2004,,seed drilled,seeding process,,350,seeds/m2,winter wheat,Hereward,Sibutol Secur,Accord drill
W/CS/326,2006,12/10/2005,,combination drilled seed,seeding process,,350,seeds/m2,,Hereward,Sibutol Secur,Accord drill
W/CS/326,2007,29/10/2006,,seed drilled,seeding process,,375,seeds/m2,winter wheat,Hereward,Redigo Twin and Deter,Accord drill
W/CS/326,2008,26/10/2007,,seed drilled,seeding process,,350,seeds/m2,winter wheat,Hereward,Beret Gold,accord drill
W/CS/326,2009,14/10/2008,,seed drilled,seeding process,,350,seeds/m2,winter wheat,Hereward,Anchor,accord drill
W/CS/326,2010,01/10/2009,,combination drilled seed,seeding process,,350,seeds/m2,,Hereward,,
W/CS/326,2011,18/10/2010,,combination drilled seed,seeding process,,350,seeds/m2,,Hereward,beret Gold,
W/CS/326,2012,10/10/2011,,seed drilled,seeding process,,350,seeds/m2,winter wheat,Hereward,Redigo Deter,
W/CS/326,2013,27/10/2012,,seed drilled,seeding process,,400,seeds/m2,winter wheat,Crusoe,Redigo Deter,
W/CS/326,2013,20/02/2013,,re-drilled,seeding process,,500,seeds/m2,winter wheat,Crusoe,Redigo Deter,
W/CS/326,2014,20/09/2013,,seed drilled,seeding process,,400,seeds/m2,winter wheat,Crusoe,Redigo Deter,
W/CS/326,2015,28/10/2014,,seed drilled,seeding process,,400,seeds/m2,winter wheat,Crusoe,Redigo Deter,
W/CS/326,2016,16/10/2015,,seed drilled,seeding process,,375,seeds/m2,winter wheat,Crusoe,Redigo Deter,
W/CS/326,2017,04/10/2016,,seed drilled,seeding process,,375,seeds/m2,winter wheat,Crusoe,Redigo Deter,
